Category	CONCEPT	avg cosine	animacy	norm_fam	ln(word_freq)	word length	num_syllable
an_animal	cow	0.065707948	y	5.4	3.80666249	3	1
an_animal	chicken	0.065606285	y	7.95	3.912023005	7	2
an_animal	penguin	0.065460259	y	2.8	0	7	2
an_animal	squirrel	0.065214418	y	7.85	0	8	2
an_animal	elk	0.065077634	y	2.65	0.693147181	3	1
an_animal	gopher	0.064558226	y	2.6	0	6	2
an_animal	moose	0.064160813	y	3.35	0	5	1
an_animal	crow	0.06349353	y	5	1.098612289	4	1
an_animal	chipmunk	0.063347505	y	6	0	8	2
a_utensil	tongs	0.062763401	n	6.15	0.693147181	5	1
a_utensil	spatula	0.061918669	n	7	0	7	3
an_animal	bluejay	0.061438078	y	5.1	0	7	2
a_miscellaneous_nonliving_thing	gate	0.061436229	n	7.1	3.951243719	4	1
an_animal	hawk	0.061292052	y	3.5	2.63905733	4	1
a_container	bucket	0.061292052	n	6.55	2.397895273	6	2
an_animal	horse	0.061219963	y	6.3	5.220355825	5	1
a_house	shack	0.061160813	n	3.55	0.693147181	5	1
an_animal	perch	0.061157116	y	4	0	5	1
an_animal	pigeon	0.06115342	y	5.8	1.386294361	6	2
a_miscellaneous_nonliving_thing	whistle	0.06102403	n	6.4	1.386294361	7	2
an_animal	caribou	0.060979667	y	3.6	0	7	3
an_animal	buzzard	0.060669131	y	2.2	0	7	2
an_animal	rooster	0.060600739	y	3.75	1.609437912	7	2
an_animal	skunk	0.060524954	y	5.5	0	5	1
an_animal	hamster	0.060499076	y	6.1	0	7	2
an_animal	raccoon	0.060426987	y	5.1	0	7	2
an_animal	alligator	0.060240296	y	3.75	1.386294361	9	4
an_animal	emu	0.060029575	y	3.1	0	3	2
an_animal	canary	0.060014787	y	3.65	0	6	3
an_animal	porcupine	0.059730129	y	3.2	0	9	3
a_tool	rake	0.059624769	n	5.8	2.397895273	4	1
an_animal	stork	0.05945841	y	2.5	0	5	1
a_plant	beans	0.059425139	n	7	2.63905733	5	1
an_animal	cougar	0.059365989	y	2.2	0	6	2
an_animal	fawn	0.059347505	y	3.8	0	4	1
an_animal	groundhog	0.059297597	y	3.85	0	9	2
a_miscellaneous_nonliving_thing	door	0.059238447	n	8.95	5.85220248	4	1
a_fruit	blueberry	0.058767098	n	6.05	0.693147181	9	3
an_animal	whale	0.058591497	y	3.5	0	5	1
a_vegetable	rice	0.058500924	n	7.5	3.496507561	4	1
a_plant	asparagus	0.058478743	n	5.85	0	9	4
an_animal	pony	0.05819963	y	4.7	2.772588722	4	2
a_musical_instrument	flute	0.058072089	n	4.6	0	5	1
a_utensil	grater	0.058025878	n	5.05	0	6	2
an_animal	dove	0.057839187	y	3.7	1.609437912	4	1
an_animal	elephant	0.057809612	y	3.5	2.833213344	8	3
a_weapon	shield	0.057524954	n	2.85	2.302585093	6	1
a_fashion_accessory	buckle	0.057480591	n	7.65	1.945910149	6	2
an_animal	oriole	0.057216266	y	2.4	2.772588722	6	3
an_animal	minnow	0.057192237	y	3.55	0	6	2
an_animal	otter	0.05709427	y	2.7	1.609437912	5	2
an_animal	crocodile	0.056988909	y	2.65	0	9	3
an_animal	vulture	0.056977819	y	2.4	1.386294361	7	2
furniture	bench	0.056853974	n	7.6	3.761200116	5	1
a_tool	ladle	0.056763401	n	4.95	0	5	2
a_weapon	machete	0.056500924	n	2	0	7	3
a_fruit	plum	0.056499076	n	6.2	0	4	1
a_plant	tomato	0.056295749	n	7.75	1.945910149	6	3
an_animal	turtle	0.056225508	y	5.7	2.197224577	6	2
a_container	pot	0.056110906	n	7.45	3.33220451	3	1
an_animal	eagle	0.056096118	y	3.6	2.397895273	5	2
a_vegetable	olive	0.056072089	n	5.7	1.791759469	5	2
a_fruit	pear	0.055887246	n	7.2	2.079441542	4	1
a_miscellaneous_nonliving_thing	tack	0.055844732	n	6.4	1.386294361	4	1
a_vehicle	trolley	0.055804067	n	3.7	1.609437912	7	2
an_animal	deer	0.055585952	y	5.4	2.564949357	4	1
an_animal	budgie	0.05535305	y	4.4	0	6	2
a_fruit	avocado	0.055253235	n	3.7	2.772588722	7	4
a_vehicle	airplane	0.055170055	n	6.55	3.044522438	8	2
a_weapon	sword	0.055027726	n	2.95	2.397895273	5	1
an_animal	donkey	0.054916821	y	4.45	0	6	2
a_weapon	harpoon	0.054859519	n	2.1	0	7	2
an_animal	platypus	0.054837338	y	1.95	0	8	3
an_insect	housefly	0.054504621	n	6.85	0	8	2
a_house	hut	0.054495379	n	3.25	2.944438979	3	1
an_animal	woodpecker	0.053852126	y	4.1	0	10	3
a_house	cottage	0.05342329	n	6.35	3.218875825	7	2
a_utensil	strainer	0.053419593	n	6.7	0	8	2
an_animal	rabbit	0.053175601	y	6.05	2.772588722	6	2
a_miscellaneous_nonliving_thing	cage	0.053146026	n	5.65	2.397895273	4	1
a_fruit	raisin	0.053066543	n	6.55	0	6	2
a_miscellaneous_nonliving_thing	fence	0.052935305	n	8.15	3.828641396	5	1
an_animal	nightingale	0.05290573	y	1.8	1.609437912	11	3
an_animal	seagull	0.052878004	y	6.7	0	7	2
an_animal	duck	0.052726433	y	5.2	2.564949357	4	1
a_utensil	pan	0.05255268	n	6.7	2.944438979	3	1
a_miscellaneous_nonliving_thing	bridge	0.052434381	n	7.1	4.820281566	6	1
an_animal	parakeet	0.052430684	y	2.95	0	8	3
a_miscellaneous_nonliving_thing	jet	0.052402957	n	4.5	3.496507561	3	1
a_tool	corkscrew	0.052110906	n	5.6	1.098612289	9	2
a_tool	stick	0.052025878	n	7.55	4.110873864	5	1
furniture	table	0.051966728	n	8.95	5.488937726	5	2
an_animal	sheep	0.051833641	y	4.25	3.135494216	5	1
an_animal	eel	0.05180037	y	2.55	0.693147181	3	1
a_miscellaneous_nonliving_thing	marble	0.051735675	n	6.2	3.17805383	6	2
an_animal	turkey	0.051709797	y	5.5	2.302585093	6	2
a_miscellaneous_nonliving_thing	pearl	0.051669131	n	5.1	2.397895273	5	1
a_musical_instrument	harmonica	0.051643253	n	3.65	0	9	4
an_animal	owl	0.051621072	y	4.1	1.386294361	3	1
a_food	biscuit	0.051617375	n	7.4	1.945910149	7	2
a_utensil	pen	0.051606285	n	8.95	2.995732274	3	1
an_animal	toad	0.051530499	y	4.65	1.386294361	4	1
a_miscellaneous_nonliving_thing	umbrella	0.051480591	n	7.35	2.397895273	8	3
a_tool	chain	0.051469501	n	7.05	4.094344562	5	1
a_musical_instrument	clarinet	0.051467652	n	3.6	0	8	3
a_fruit	banana	0.051354898	n	8.1	1.609437912	6	3
a_utensil	colander	0.051255083	n	2.35	0	8	3
an_animal	crab	0.050974122	y	4.2	0.693147181	4	1
a_vegetable	pickle	0.050890943	n	7.35	0.693147181	6	2
a_miscellaneous_nonliving_thing	thimble	0.050499076	n	3.85	0	7	2
an_animal	calf	0.050430684	y	4.35	2.833213344	4	1
an_animal	lobster	0.050404806	y	5.85	0	7	2
